W#,sex,Years b/w last mold and death,SFBR ID,Left or Right M2?,Dentin Area,Total Area of occlusal surface,DER,PED,Dentin Area,Total Area of occlusal surface,DER,PED,Dentin Area,Total Area of occlusal surface,DER,PED,Dentin Area,Total Area of occlusal surface,DER,PED,
246,female,0.51,1X4771,Left,9.34,94.721,0.0986053779,9.86053779,10.808,89.092,0.1213128003,12.13128003,11.463,92.922,0.123361529,12.3361529,13.32,86.465,0.154050772,15.4050772,
247,female,3.52,1X2509,Left,7.824,82.636,0.09468028462,9.468028462,5.915,85.906,0.06885432915,6.885432915,9.678,81.89,0.1181829283,11.81829283,8.033,87.3,0.09201603666,9.201603666,
248,female,2.51,1x1962,Left,7.363,98.576,0.0746936374,7.46936374,7.361,93.361,0.07884448538,7.884448538,9.403,97.746,0.09619830991,9.619830991,9.121,93.751,0.09728962891,9.728962891,
249,male,0.21,1X4209,Right,14.575,121.162,0.1202934914,12.02934914,10.898,112.83,0.09658778694,9.658778694,17.711,123.4,0.1435251216,14.35251216,15.143,116.122,0.1304059524,13.04059524,
253,female,1.53,8296,Left,4.87,107.253,0.04540665529,4.540665529,5.098,92.954,0.0548443316,5.48443316,7.2,104.018,0.06921878906,6.921878906,5.92,93.885,0.06305586622,6.305586622,
255,female,4.41,1X3928,Left,25.859,108.432,0.2384812601,23.84812601,17.793,110.691,0.160744776,16.0744776,29.41,104.836,0.2805334046,28.05334046,21.466,107.119,0.2003939544,20.03939544,
256,female,1.2,6746,Left,21.076,120.888,0.1743431937,17.43431937,19.964,117.381,0.1700786328,17.00786328,24.856,119.811,0.207460083,20.7460083,24.081,114.848,0.2096771385,20.96771385,
260,female,1.02,10510,Left,2.757,90.414,0.03049306523,3.049306523,3.799,84.593,0.04490915324,4.490915324,4.102,90.136,0.04550900861,4.550900861,3.942,82.048,0.0480450468,4.80450468,
264,female,1.9,1X4631,Left,2.884,113.397,0.02543277159,2.543277159,2.593,104.334,0.02485287634,2.485287634,3.374,93.908,0.03592878136,3.592878136,3.567,90.621,0.03936173735,3.936173735,
265,female,1.9,8975,Left,2.73,94.948,0.02875258036,2.875258036,1.567,90.194,0.01737366122,1.737366122,4.259,96.619,0.04408035687,4.408035687,1.884,91.173,0.02066401237,2.066401237,
267,female,4.8,1X2000,Left,17.583,84.258,0.2086804814,20.86804814,5.349,79.977,0.0668817285,6.68817285,20.929,82.75,0.252918429,25.2918429,4.729,80.194,0.05896949897,5.896949897,
269,male,1.31,8679,Right,8.408,117.472,0.07157450286,7.157450286,7.31,112.53,0.06496045499,6.496045499,10.874,112.999,0.0962309401,9.62309401,8.876,109.874,0.08078344285,8.078344285,
276,female,4.52,1X3956,Left,2.84,106.586,0.02664515039,2.664515039,2.199,100.623,0.02185385051,2.185385051,4.079,105.635,0.03861409571,3.861409571,1.951,97.613,0.01998709188,1.998709188,
277,male,2.16,8021,Left,6.638,110.731,0.05994707896,5.994707896,51.954,131.425,0.3953129161,39.53129161,9.067,109.75,0.08261503417,8.261503417,61.01,133.039,0.4585873315,45.85873315,*Not sure if skeleton scan and cast match. M2 seems different. 
278,female,4.54,1X4329,Left,4.648,100.833,0.04609602015,4.609602015,3.328,90.457,0.03679096145,3.679096145,6.795,99.28,0.06844278807,6.844278807,3.871,89.868,0.04307428673,4.307428673,
279,male,1.85,1X4284,Left,53.076,121.002,0.4386373779,43.86373779,8.115,106.792,0.07598883812,7.598883812,58.195,128.231,0.4538294172,45.38294172,8.436,106.371,0.07930733001,7.930733001,
282,female,0.64,6690,Left,2.999,98.449,0.03046247296,3.046247296,4.034,94.929,0.04249491725,4.249491725,4.373,99.08,0.04413605168,4.413605168,4.058,88.983,0.04560421654,4.560421654,
284,female,1.51,1X4161,Left,4.754,92.764,0.05124832909,5.124832909,4.599,87.95,0.05229107447,5.229107447,6.069,89.637,0.06770641588,6.770641588,5.871,85.066,0.06901699857,6.901699857,
286,female,3.83,1X3445,Left,27.013,116.975,0.2309296858,23.09296858,17.812,112.167,0.1587989337,15.87989337,29.568,14.068,2.101791299,210.1791299,19.314,109.437,0.176485101,17.6485101,
288,female,1.95,9193,Left,2.457,123.724,0.01985871779,1.985871779,1.771,115.031,0.01539584981,1.539584981,3.286,115.706,0.02839956441,2.839956441,2.564,108.818,0.0235622783,2.35622783,
289,female,4.62,1X4236,Left,4.899,107.161,0.04571625871,4.571625871,2.667,104.137,0.02561049387,2.561049387,5.506,104.664,0.05260643583,5.260643583,3.262,100.5,0.03245771144,3.245771144,
290,female,2.25,1X4278,Left,13.816,88.085,0.1568484986,15.68484986,10.968,86.248,0.1271681662,12.71681662,17.504,85.323,0.2051498424,20.51498424,14.029,84.145,0.1667241072,16.67241072,
296,female,1.63,1X3582,Left,27.691,111.9,0.2474620197,24.74620197,24.217,105.886,0.2287082334,22.87082334,32.061,109.687,0.2922953495,29.22953495,23.676,102.96,0.22995338,22.995338,
297,female,4.92,7621,Left,15.254,97.979,0.1556864226,15.56864226,8.245,87.955,0.09374111762,9.374111762,18.931,94.681,0.1999450787,19.99450787,9.517,86.827,0.1096087623,10.96087623,
298,female,4.42,1X4031,Left,22.572,119.775,0.18845335,18.845335,12.382,111.171,0.1113779673,11.13779673,24.386,117.543,0.2074645024,20.74645024,12.637,107.433,0.1176268,11.76268,
304,female,4.23,1X2572,Left,8.602,117.867,0.07298056284,7.298056284,7.274,95.429,0.07622420857,7.622420857,9.994,106.811,0.09356714196,9.356714196,8.23,95.217,0.08643414516,8.643414516,
306,female,4.32,1X2589,Left,19.541,90.297,0.2164080756,21.64080756,9.727,96.11,0.1012069504,10.12069504,23.069,91.838,0.2511923169,25.11923169,13.776,94.651,0.1455452135,14.55452135,
310,female,4.67,1X3439,Left,34.707,113.696,0.3052613988,30.52613988,24.753,109.917,0.2251971942,22.51971942,39.119,112.342,0.3482134909,34.82134909,26.079,107.111,0.2434763936,24.34763936,
311,female,4.66,8597,Left,6.482,116.69,0.05554889022,5.554889022,3.072,109.536,0.02804557406,2.804557406,9.597,119.597,0.08024448774,8.024448774,2.341,108.569,0.02156232442,2.156232442,
